UC;UC09;;;
1080122;--- ;12;7;10
1080123;--- ;10;3;SM 
1080124;--- ;15;8;12
1080125;--- ;14;12;13
1080126;--- ;15;17;16
1080127;--- ;17;9;13
1080128;--- ;9;4;SM 
1080129;--- ;14;12;13
1080130;--- ;7;FT ;SM 
1080131;--- ;14;13;14
1080132;--- ;12;7;10
1080133;--- ;5;FT ;SM 
1080134;--- ;12;7;10
1080135;--- ;14;10;12
1080140;--- ;12;9;11
1080141;--- ;9;11;10
1080145;--- ;10;6;SM 
1080146;--- ;4;FT ;SM 
1080147;--- ;16;8;12
1080148;--- ;13;7;10
1080149;--- ;18;15;17
1080151;--- ;17;8;13
1080154;--- ;12;5;SM 
1080155;--- ;16;15;16
1080156;--- ;10;FT ;NC 
1080157;--- ;NC ;FT ;NC 
1080158;--- ;14;16;15
1080160;--- ;13;10;12
1080161;--- ;13;7;10
1080162;--- ;12;11;12
1080163;--- ;14;11;13
1080166;--- ;15;10;13
1080169;--- ;NC ;FT ;NC 
1080170;--- ;11;6;SM 
1080171;--- ;14;8;11
1080173;--- ;14;7;11
1080174;--- ;15;12;14
1080175;--- ;10;12;11
1080176;--- ;13;15;14
1080178;--- ;14;8;11
1080179;--- ;11;11;11
1080182;--- ;18;8;14
1080186;--- ;11;FT ;NC 
1080187;--- ;16;7;12
1080191;--- ;11;3;SM 
1080193;--- ;15;14;15
1080202;--- ;10;9;10
1080205;--- ;15;7;11
1080206;--- ;13;2;SM 
1080209;--- ;10;10;10
1090165;--- ;11;5;SM 
1090166;--- ;1;FT ;SM 
1090173;--- ;NC ;FT ;NC 
1090174;--- ;13;7;10
